province;city;postal code;latitude;longitude
Namur;Vodelée;5680;501.700.230.000;47.319.820.000
Namur;Vaucelles;5680;501.132.060.000;47.435.860.000
Namur;Soulme;5680;501.875.880.000;47.362.840.000
Namur;Romerée;5680;501.349.750.000;46.751.610.000
Namur;Niverlée;5680;501.176.370.000;47.009.270.000
Namur;Matagne-la-Petite;5680;501.187.170.000;46.466.010.000
Namur;Matagne-la-Grande;5680;501.171.990.000;46.230.830.000
Namur;Gochenée;5680;501.838.390.000;47.598.300.000
Namur;Gimnée;5680;501.322.990.000;47.141.850.000
Namur;Doische;5680;501.354.940.000;47.451.560.000
Namur;Viroinval;5670;500.497.310.000;46.241.690.000
Namur;Vierves-sur-Viroin;5670;500.803.070.000;46.342.320.000
Namur;Treignes;5670;500.928.420.000;46.692.220.000
Namur;Olloy-sur-Viroin;5670;500.734.410.000;46.073.550.000
Namur;Oignies-en-Thiérache;5670;500.237.920.000;46.390.910.000
Namur;Nismes;5670;500.747.920.000;45.483.010.000;,
Namur;Mazée;5670;501.013.000.000;46.962.280.000;,
Namur;Le Mesnil;5670;500.314.900.000;46.714.330.000;,
Namur;Dourbes;5670;500.915.240.000;45.911.850.000;,
Namur;Presgaux;5660;500.251.800.000;44.198.510.000;,
Namur;Petite-Chapelle;5660;499.501.140.000;45.051.170.000;,
Namur;Petigny;5660;500.588.020.000;45.329.340.000;,
Namur;Pesche;5660;500.423.740.000;44.587.270.000;,
Namur;Mariembourg;5660;500.949.510.000;45.221.760.000;,
Namur;Gonrieux;5660;500.360.470.000;44.262.190.000;,
Namur;Frasnes, Namur;5660;500.767.420.000;45.089.140.000;
Namur;Dailly;5660;500.574.820.000;44.357.090.000;,
Namur;Cul-des-Sarts;5660;499.620.800.000;44.546.930.000;,
Namur;Couvin;5660;500.516.940.000;44.971.550.000;,
Namur;Brûly-de-Pesche;5660;500.009.900.000;44.607.010.000;,
Namur;Brûly;5660;499.700.580.000;45.276.730.000;,
Namur;Boussu-en-Fagne;5660;500.763.230.000;44.718.510.000;,
Namur;Aublain;5660;500.675.770.000;44.090.750.000;,
Namur;Thy-le-Château;5651;502.823.570.000;44.259.160.000;,
Namur;Tarcienne;5651;503.121.150.000;44.978.150.000;,
Namur;Somzée;5651;502.950.670.000;44.831.640.000;,
Namur;Rognée;5651;502.696.670.000;43.890.380.000;,
Namur;Laneffe;5651;502.775.920.000;44.942.980.000;,
Namur;Gourdinne;5651;502.901.210.000;44.562.300.000;,
Namur;Berzée;5651;502.906.720.000;43.991.600.000;,
Namur;Yves-Gomezée;5650;502.394.220.000;44.942.940.000;,
Namur;Walcourt;5650;502.517.270.000;44.316.900.000;,
Namur;Vogenée;5650;502.389.290.000;44.523.070.000;,
Namur;Pry;5650;502.702.050.000;44.292.600.000;,
Namur;Fraire;5650;502.613.260.000;45.075.510.000;,
Namur;Fontenelle;5650;502.480.930.000;43.820.440.000;,
Namur;Clermont, Namur;5650;502.602.510.000;43.166.530.000;
Namur;Chastrès;5650;502.649.870.000;44.594.300.000
Namur;Castillon;5650;502.469.600.000;43.535.680.000
Namur;Stave;5646;502.823.370.000;46.595.390.000
Namur;Ermeton-sur-Biert;5644;502.976.310.000;47.190.520.000
Namur;Furnaux;5641;503.080.630.000;47.049.740.000
Namur;Saint-Gérard;5640;503.459.590.000;47.402.040.000
Namur;Oret;5640;502.998.710.000;46.155.650.000
Namur;Mettet;5640;503.201.540.000;46.579.480.000
Namur;Graux;5640;503.256.280.000;47.188.070.000
Namur;Biesmerée;5640;502.972.760.000;46.800.580.000
Namur;Biesme;5640;503.341.410.000;46.084.740.000
Namur;Villers-Deux-Eglises;5630;501.895.480.000;44.827.130.000
Namur;Soumoy;5630;501.893.200.000;44.374.720.000
Namur;Silenrieux;5630;502.247.690.000;44.101.530.000
Namur;Senzeille;5630;501.773.950.000;44.654.510.000
Namur;Daussois;5630;502.215.800.000;44.538.610.000
Namur;Cerfontaine;5630;501.706.980.000;44.123.060.000
Namur;Thy-le-Bauduin;5621;502.951.270.000;45.236.970.000
Namur;Morialmé;5621;502.750.470.000;45.658.950.000
Namur;Hanzinne;5621;503.100.160.000;45.431.970.000
Namur;Hanzinelle;5621;502.960.690.000;45.564.460.000
Namur;Saint-Aubin;5620;502.480.440.000;45.775.600.000
Namur;Rosée;5620;502.321.290.000;46.867.740.000
Namur;Morville;5620;502.334.590.000;47.449.910.000
Namur;Hemptinne-lez-Florennes;5620;502.285.440.000;45.626.700.000
Namur;Florennes;5620;502.508.160.000;46.037.450.000
Namur;Flavion;5620;502.492.810.000;47.123.050.000
Namur;Corenne;5620;502.522.480.000;46.787.670.000
Namur;Vodecée;5600;501.973.840.000;45.922.910.000
Namur;Villers-le-Gambon;5600;501.901.290.000;46.080.560.000
Namur;Villers-en-Fagne;5600;501.465.040.000;45.839.370.000
Namur;Surice;5600;501.820.680.000;46.959.880.000
Namur;Sautour;5600;501.683.290.000;45.608.150.000
Namur;Sart-en-Fagne;5600;501.577.420.000;46.192.910.000
Namur;Samart;5600;501.776.300.000;45.334.510.000
Namur;Romedenne;5600;501.722.970.000;46.975.300.000
Namur;Roly;5600;501.354.100.000;45.394.750.000
Namur;Philippeville;5600;501.959.600.000;45.450.760.000
Namur;Omezée;5600;501.933.780.000;46.989.400.000
Namur;Neuville (Philippeville);5600;501.749.440.000;45.261.180.000
Namur;Merlemont;5600;501.730.940.000;46.069.360.000
Namur;Jamiolle;5600;502.124.270.000;45.077.450.000
Namur;Jamagne;5600;502.182.090.000;45.314.060.000
Namur;Franchimont;5600;501.904.420.000;46.406.820.000
Namur;Fagnolle;5600;501.051.440.000;45.699.780.000
Namur;Sovet;5590;502.955.560.000;50.352.070.000
Namur;Serinchamps;5590;502.317.960.000;52.344.470.000
Namur;Pessoux;5590;502.831.200.000;51.709.300.000
Namur;Leignon;5590;502.699.200.000;51.097.200.000
Namur;Haversin;5590;502.491.620.000;51.957.760.000
Namur;Conneux;5590;502.477.880.000;50.593.660.000
Namur;Ciney;5590;502.963.720.000;51.003.880.000
Namur;Chevetogne;5590;502.229.560.000;51.196.680.000
Namur;Braibant;5590;503.128.890.000;50.621.490.000
Namur;Achêne;5590;502.666.160.000;50.446.250.000
Namur;Wavreille;5580;501.210.660.000;52.484.130.000
Namur;Villers-sur-Lesse;5580;501.519.740.000;51.130.060.000
Namur;Rochefort;5580;501.615.790.000;52.222.340.000
Namur;Mont-Gauthier;5580;502.092.960.000;51.212.390.000
Namur;Lessive;5580;501.397.560.000;51.487.730.000
Namur;Lavaux-Sainte-Anne;5580;501.147.160.000;50.932.180.000
Namur;Jemelle;5580;501.617.890.000;52.611.050.000
Namur;Han-sur-Lesse;5580;501.255.150.000;51.872.830.000
Namur;Eprave;5580;501.410.340.000;51.618.970.000
Namur;Buissonville;5580;502.163.740.000;52.019.020.000
Namur;Ave-et-Auffe;5580;501.085.680.000;51.429.580.000
Namur;Willerzie;5575;499.869.940.000;48.479.060.000
Namur;Vencimont;5575;500.320.440.000;49.216.610.000
Namur;Sart-Custinne;5575;500.014.090.000;49.167.130.000
Namur;Rienne;5575;499.928.800.000;48.885.930.000
Namur;Patignies;5575;500.003.490.000;49.512.730.000
Namur;Malvoisin;5575;500.117.440.000;49.601.700.000
Namur;Louette-Saint-Pierre;5575;499.605.610.000;49.274.000.000
Namur;Louette-Saint-Denis;5575;499.584.820.000;49.570.780.000
Namur;Houdremont;5575;499.415.140.000;49.442.420.000
Namur;Gedinne;5575;499.812.970.000;49.368.540.000
Namur;Bourseigne-Vieille;5575;500.225.070.000;48.707.930.000
Namur;Bourseigne-Neuve;5575;500.248.950.000;48.548.730.000
Namur;Froidfontaine;5576;500.604.650.000;49.996.450.000
Namur;Pondrôme;5574;500.995.020.000;50.085.670.000
Namur;Martouzin-Neuville;5573;501.173.600.000;50.055.680.000
Namur;Focant;5572;501.318.120.000;50.377.820.000
Namur;Wiesme;5571;501.485.330.000;49.779.190.000
Namur;Winenne;5570;500.996.300.000;48.984.420.000
Namur;Wancennes;5570;500.912.320.000;49.611.080.000
Namur;Vonêche;5570;500.612.460.000;49.791.820.000
Namur;Javingue;5570;500.933.420.000;49.270.530.000
Namur;Honnay;5570;500.809.210.000;50.398.340.000
Namur;Feschaux;5570;501.507.420.000;49.104.110.000
Namur;Felenne;5570;500.695.170.000;48.479.680.000
Namur;Dion;5570;501.177.780.000;48.886.000.000
Namur;Beauraing;5570;501.093.220.000;49.580.690.000
Namur;Baronville;5570;501.276.640.000;49.426.710.000
Namur;Wanlin;5564;501.595.800.000;50.613.730.000
Namur;Hour;5563;501.609.200.000;50.362.940.000
Namur;Custinne;5562;502.108.230.000;50.470.600.000
Namur;Celles, Namur;5561;502.287.830.000;50.079.770.000;
Namur;Mesnil-Saint-Blaise;5560;501.669.790.000;48.850.010.000;,
Namur;Mesnil-Eglise;5560;501.641.080.000;49.620.660.000;,
Namur;Hulsonniaux;5560;502.014.730.000;49.475.730.000;,
Namur;Houyet;5560;501.849.760.000;50.115.220.000;,
Namur;Finnevaux;5560;501.580.510.000;49.455.000.000;,
Namur;Ciergnon;5560;501.667.400.000;50.884.750.000;,
Namur;Petit-Fays;5555;499.018.960.000;49.674.130.000;,
Namur;Oizy;5555;498.936.000.000;50.086.640.000;,
Namur;Naomé;5555;499.224.390.000;50.900.980.000;,
Namur;Monceau-en-Ardenne;5555;499.048.560.000;49.854.370.000;,
Namur;Gros-Fays;5555;498.695.730.000;49.833.240.000;,
Namur;Graide;5555;499.514.560.000;50.667.410.000;,
Namur;Cornimont;5555;498.624.710.000;49.983.800.000;,
Namur;Bièvre;5555;499.413.730.000;50.164.050.000;,
Namur;Bellefontaine, Namur;5555;499.177.160.000;49.727.820.000;
Namur;Baillamont;5555;498.995.760.000;50.265.040.000
Namur;Vresse-sur-Semois;5550;498.725.740.000;49.324.780.000
Namur;Sugny;5550;498.143.970.000;49.015.890.000
Namur;Pussemange;5550;498.112.530.000;48.696.990.000
Namur;Orchimont;5550;498.935.910.000;49.272.900.000
Namur;Nafraiture;5550;499.105.590.000;49.172.900.000
Namur;Mouzaive;5550;498.536.120.000;49.655.630.000
Namur;Membre;5550;498.662.230.000;49.013.310.000
Namur;Laforêt;5550;498.626.880.000;49.295.390.000
Namur;Chairière;5550;498.615.310.000;49.470.890.000
Namur;Bohan;5550;498.641.090.000;48.856.280.000
Namur;Bagimont;5550;498.243.530.000;48.752.850.000
Namur;Alle;5550;498.417.380.000;49.710.510.000
Namur;Agimont;5544;501.642.400.000;47.937.840.000
Namur;Heer;5543;501.625.590.000;48.312.910.000
Namur;Blaimont;5542;501.927.330.000;48.353.520.000
Namur;Hastière-par-Delà;5541;502.148.610.000;48.287.200.000;,
Namur;Waulsort;5540;502.050.170.000;48.644.500.000;,
Namur;Hermeton-sur-Meuse;5540;501.952.500.000;48.151.740.000;,
Namur;Hastière-Lavaux;5540;502.170.490.000;48.247.980.000;,
Namur;Hastière;5540;501.979.860.000;48.262.000.000;,
Namur;Warnant;5537;503.218.660.000;48.322.260.000;,
Namur;Sosoye;5537;502.957.430.000;47.819.500.000;,
Namur;Haut-le-Wastia;5537;503.054.780.000;48.427.420.000;,
Namur;Denée;5537;503.167.110.000;47.497.430.000;,
Namur;Bioul;5537;503.336.600.000;47.987.230.000;,
Namur;Annevoie-Rouillon;5537;503.430.480.000;48.413.000.000;,
Namur;Anhée;5537;503.103.440.000;48.785.850.000;,
Namur;Yvoir;5530;503.265.110.000;48.785.780.000;,
Namur;Spontin;5530;503.219.710.000;50.058.660.000;,
Namur;Purnode;5530;503.121.700.000;49.439.920.000;,
Namur;Mont, Namur;5530;503.534.710.000;49.014.190.000;
Namur;Houx;5530;503.028.470.000;48.980.850.000
Namur;Godinne;5530;503.496.750.000;48.663.530.000
Namur;Evrehailles;5530;503.196.850.000;49.121.380.000
Namur;Durnal;5530;503.365.130.000;49.847.430.000
Namur;Dorinne;5530;503.159.820.000;49.728.220.000
Namur;Gerin;5524;502.464.650.000;48.157.310.000
Namur;Weillen;5523;502.601.660.000;48.237.600.000
Namur;Sommière;5523;502.768.270.000;48.482.710.000
Namur;Falaën;5522;502.787.960.000;47.937.980.000
Namur;Serville;5521;502.514.170.000;47.733.550.000
Namur;Onhaye;5520;502.399.610.000;48.399.520.000
Namur;Anthée;5520;502.403.300.000;47.622.800.000
